pl001,皮制/皮制S/皮制X
pl002,猎人/猎人S/猎人X
pl003,骨制/骨制S/骨制X
pl004,合金/合金S/合金X
pl009,搔鸟/搔鸟S
pl010,毒妖鸟/毒妖鸟S
pl011,泥鱼龙
pl012,土砂龙/土砂龙S
pl013,飞雷龙/飞雷龙S
pl014,锁甲/锁甲S/锁甲X
pl020,蛮颚龙/蛮颚龙S
pl021,雌火龙/雌火龙S
pl026,死神/死神S/死神X
pl031,铸铁/铸铁S/铸铁X
pl033,火龙/火龙S
pl034,角龙/角龙S
pl036,旅团/旅团S/旅团X
pl037,强弓羽饰
pl042,爆鳞龙
pl043,花纹钢
pl044,杜宾/杜宾X
pl046,帝王
pl047,钢龙
pl054,骷髅
pl060,知略眼镜
pl061,炎之封眼
pl062,墨镜
pl079,冰牙龙/冰牙龙S
pl080,迅龙/迅龙S
pl083,轰龙/轰龙S
pl200,炎火装束/炎火装束・霸/炎火装束・继
pl201,祸铠/祸铠・霸
pl202,天狗兽/天狗兽S
pl203,伞鸟/伞鸟S
pl204,河童蛙/河童蛙S
pl205,人鱼龙/人鱼龙S
pl206,妃蜘蛛
pl207,雪鬼兽/雪鬼兽S
pl208,泥翁龙/泥翁龙S
pl209,风卷
pl210,鸣神
pl211,镰鼬龙/镰鼬龙S
pl212,水行
pl213,丸鸟伪装
pl214,垂皮龙
pl215,硬甲龙/硬甲龙S/硬甲龙X
pl216,狗龙皮
pl217,飞甲虫/飞甲虫S/飞甲虫X
pl218,野猪伪装
pl219,翼蛇龙/翼蛇龙S/翼蛇龙X
pl220,水生兽/水生兽S/水生兽X
pl221,熔岩兽/熔岩兽S/熔岩兽X
pl222,毒狗龙/毒狗龙S/毒狗龙X
pl223,眠狗龙/眠狗龙S/眠狗龙X
pl224,青熊兽/青熊兽S/青熊兽X
pl225,白兔兽/白兔兽S/白兔兽X
pl226,赤甲兽/赤甲兽S/赤甲兽X
pl227,水兽/水兽S
pl228,泡狐龙/泡狐龙S
pl229,奇怪龙/奇怪龙S
pl233,岩龙/岩龙S
pl234,雷狼龙/雷狼龙S
pl235,金色
pl237,赫耀
pl238,花瓣/花瓣S/花瓣X
pl239,鱼鳞/鱼鳞S/鱼鳞X
pl240,南瓜/南瓜S/南瓜X
pl241,锹形S·X/凤蝶/S·X
pl242,海境/海境S/海境X
pl243,混沌/混沌・霸/混沌・真
pl244,雪绒花/雪绒花S/雪绒花X
pl245,毒蝎/毒蛛/毒蝎S·X/毒蛛S·X
pl246,依巫·祈·燿/倪泰表·霸·真
pl248,贝壳/贝壳S/贝壳X
pl249,哥特/哥特S/哥特X
pl250,祸铠封具
pl251,亚瑟
pl252,铬合金/铬合金X
pl254,骑士
pl255,黑色皮制
pl257,狗龙伪装/狗龙S伪装/狗龙X伪装
pl259,神凪·愿·洸/倪泰里·霸·真
pl260,牙猎犬伪装/牙猎犬尾巴
pl261,艾露猫尾巴/艾露猫耳朵
pl262,名角假发
pl263,龙人耳饰
pl264,狐狸面具
pl265,染花
pl266,飞燕
pl267,兔团子耳饰
pl268,狸兽伪装
pl269,敬爱围巾
pl270,艾露猫忍头巾
pl271,炎火外套
pl272,炎火武士
pl276,豪鬼
pl277,潜水员
pl278,原型
pl279,公会十字
pl280,黑带
pl281,苦无耳饰
pl282,华丽耳饰
pl283,鬼火鸟耳饰
pl284,犬猫耳饰
pl285,蝴蝶结项链
pl286,皮制项圈
pl287,褶边项圈
pl288,博爱绷带
pl289,猎户星
pl290,盛装
pl291,盛开
pl292,索尼克服装
pl293,苍世武士
pl300,祸铠·真
pl301,天狗兽X
pl302,伞鸟X
pl303,河童蛙X
pl304,人鱼龙X
pl305,妃蜘蛛X
pl306,雪鬼兽X
pl307,泥翁龙X
pl308,风卷·真
pl309,鸣神·真
pl310,镰鼬龙X
pl311,钢龙X
pl312,水行·真
pl313,帝王X
pl314,花纹钢X
pl315,水兽X
pl316,土砂龙X
pl317,奇怪龙X
pl318,迅龙X
pl319,冰牙龙X
pl320,雌火龙X
pl321,火龙X
pl322,轰龙X
pl323,角龙X
pl324,岩龙X
pl325,雷狼龙X
pl326,齐天·真
pl327,赫耀·真
pl328,搔鸟X
pl329,毒妖鸟X
pl330,泥鱼龙X
pl331,飞雷龙X
pl332,蛮颚龙X
pl333,爆鳞龙X
pl334,泡狐龙X
pl335,金黄澄月
pl336,银白耀日
pl337,大名盾蟹
pl338,将军镰蟹
pl339,怒天
pl340,月光
pl341,黑蚀龙
pl342,方舟/友爱
pl343,千刃龙
pl344,电龙
pl345,阴阳师
pl346,祸铠·怨
pl347,天狗兽Z
pl348,人鱼龙Z
pl349,妃蜘蛛Z
pl350,泥翁龙Z
pl351,矜持
pl352,爵银龙
pl353,冰狼龙
pl354,刚缠兽
pl355,冥渊缠铠
pl356,棘龙
pl357,棘龙Z
pl358,蓝速龙
pl359,巨蜂
pl360,巨甲虫
pl361,蔚蓝
pl362,朱伟
pl363,情谊
pl364,雷尼根
pl365,漾光
pl366,海洋
pl367,薄暮
pl368,碧空
pl369,尊严
pl370,艾丽西亚
pl371,王国重装骑士
pl372,王国轻装骑士
pl373,王国炮术队
pl374,教授/博爱
pl375,龙公礼服
pl376,公会诗人/学士
pl377,水手
pl378,猎鹰/求知
pl379,贤者
pl380,追踪者
pl381,王国据点司令
pl382,掠夺者王冠
pl383,巴尔巴尼亚
pl384,恩宠
pl385,五行
pl386,守护者
pl387,公会宫殿
pl388,结云
pl389,福木兔伪装
pl390,海蛞蝓帽子
pl391,幻想宝冠
pl392,雷尔尼亚
pl393,蒙面围巾
pl394,灭龙猎装
pl395,夏日
pl396,秋风
pl397,蓬松毛皮
pl398,怪悟猎仁/百龙夜子
pl400,啮生虫王冠
pl401,海豚王冠
pl402,黑翼耳饰
pl403,白色福木兔耳套
pl405,牙猎面具
pl406,探明的单片眼镜
pl407,菲奥莱娜
pl408,倪泰
pl409,阿尔洛
pl410,火芽
pl411,水芸
pl415,脉动钢龙
pl416,水行·醒
pl417,脉动帝王
pl418,赫耀・历
pl419,久爱/美德
pl420,原初
pl421,混茫/堕天
pl422,雪崩
pl423,风雨
pl424,蒸汽贵族
pl425,机械
pl428,狂野
pl433,黑带S
pl435,健美
pl507,翔驱羽饰
pl508,埃尔迦德
