#armor id
000_000,身体(男款)
000_001,身体(女款)
000_900,骨骼
002_000,内衣1
002_001,内衣2
002_100,内衣3
002_101,内衣4
002_200,内衣?
001_000,希望α(男款)
001_001,希望α(女款)
003_000,辟兽α/β(男款)
003_001,辟兽α/β(女款)
003_500,护辟兽α/β(男款)
003_501,护辟兽α/β(女款)
004_000,骨制α(男款)
004_001,骨制α(女款)
005_000,皮制α(男款)
005_001,皮制α(女款)
006_000,锁甲α(男款)
006_001,锁甲α(女款)
007_000,钳速龙α/β(男款)
007_001,钳速龙α/β(女款)
008_000,缠蛙α/β(男款)
008_001,缠蛙α/β(女款)
009_000,炎尾龙α/β(男款)
009_001,炎尾龙α/β(女款)
010_000,合金α(男款)
010_001,合金α(女款)
011_000,锯带龙α/β(男款)
011_001,锯带龙α/β(女款)
012_000,刺花蜘蛛α/β(男款)
012_001,刺花蜘蛛α/β(女款)
013_000,桃毛兽王α/β(男款)
013_001,桃毛兽王α/β(女款)
014_000,沙海龙α/β(男款)
014_001,沙海龙α/β(女款)
015_000,铸铁α(男款)
015_001,铸铁α(女款)
016_000,血盗虫α/β(男款)
016_001,血盗虫α/β(女款)
017_000,波衣龙α/β(男款)
017_001,波衣龙α/β(女款)
017_300,波衣龙γ(男款)
017_301,波衣龙γ(女款)
018_000,沼喷龙α/β(男款)
018_001,沼喷龙α/β(女款)
019_000,杜宾α(男款)
019_001,杜宾α(女款)
020_000,盔速龙α/β(男款)
020_001,盔速龙α/β(女款)
021_000,煌雷龙α/β(男款)
021_001,煌雷龙α/β(女款)
021_300,煌雷龙γ(男款)
021_301,煌雷龙γ(女款)
022_000,影蜘蛛α/β(男款)
022_001,影蜘蛛α/β(女款)
023_000,风铗龙α/β(男款)
023_001,风铗龙α/β(女款)
024_000,赫猿兽α/β(男款)
024_001,赫猿兽α/β(女款)
025_000,花纹钢α(男款)
025_001,花纹钢α(女款)
026_000,血眠虫α/β(男款)
026_001,血眠虫α/β(女款)
027_000,狱焰蛸α/β(男款)
027_001,狱焰蛸α/β(女款)
027_300,狱焰蛸γ(男款)
027_301,狱焰蛸γ(女款)
028_000,巨蜂α/β(男款)
028_001,巨蜂α/β(女款)
029_000,冻峰龙α/β(男款)
029_001,冻峰龙α/β(女款)
029_300,冻峰龙γ(男款)
029_301,冻峰龙γ(女款)
030_600,护凶爪龙α/β(男款)
030_601,护凶爪龙α/β(女款)
031_000,暗器蛸α/β(男款)
031_001,暗器蛸α/β(女款)
032_000,锁刃龙α/β(男款)
032_001,锁刃龙α/β(女款)
032_300,锁刃龙γ(男款)
032_301,锁刃龙γ(女款)
032_500,护锁刃龙α/β(男款)
032_501,护锁刃龙α/β(女款)
033_000,护鹭鹰龙α/β(男款)
033_001,护鹭鹰龙α/β(女款)
034_000,怪鸟α/β(男款)
034_001,怪鸟α/β(女款)
035_000,雌火龙α/β(男款)
035_001,雌火龙α/β(女款)
036_000,火龙α/β(男款)
036_001,火龙α/β(女款)
036_500,护火龙α/β(男款)
036_501,护火龙α/β(女款)
037_000,毒怪鸟α/β(男款)
037_001,毒怪鸟α/β(女款)
038_000,千刃龙α/β(男款)
038_001,千刃龙α/β(女款)
039_000,海龙α/β(男款)
039_001,海龙α/β(女款)
040_000,铠龙α/β(男款)
040_001,铠龙α/β(女款)
041_000,雪狮子王α/β(男款)
041_001,雪狮子王α/β(女款)
042_000,黑蚀龙α/β(男款)
042_001,黑蚀龙α/β(女款)
043_600,护雷颚龙α/β(男款)
043_601,护雷颚龙α/β(女款)
044_000,龙王的独眼α(男款)
044_001,龙王的独眼α(女款)
045_000,封印的眼罩α(男款)
045_001,封印的眼罩α(女款)
046_000,库纳法α
047_000,阿孜兹α
048_000,西尔德α
049_000,酥加α
050_000,调查团α(男款)
050_001,调查团α(女款)
051_000,机械α(男款)
051_001,机械α(女款)
052_000,咬鱼α(男款)
052_001,咬鱼α(女款)
053_000,死神α(男款)
053_001,死神α(女款)
054_000,燕尾蝶α(男款)
054_001,燕尾蝶α(女款)
055_000,独角仙α(男款)
055_001,独角仙α(女款)
056_000,矿石α(男款)
056_001,矿石α(女款)
057_000,战斗α(男款)
057_001,战斗α(女款)
058_000,花瓣α(男款)
058_001,花瓣α(女款)
059_010,纯洁龙α/β(男款)
059_011,纯洁龙α/β(女款)
060_000,公会骑士
061_000,兵之甲冑
062_000,公会王牌α
063_000,花妖猩α
064_000,鬼角假发
065_000,剑豪独眼罩(男款)
065_001,剑豪独眼罩(女款)
066_000,泡狐龙α/β(男款)
066_001,泡狐龙α/β(女款)
067_000,贵族
068_000,萌芽头冠
069_000,落樱缤纷α(男款)
069_001,落樱缤纷α(女款)
070_000,豪鬼α
071_000,潜水员α(男款)
071_001,潜水员α(女款)
072_000,龙人族之耳(男款)
072_001,龙人族之耳(女款)
073_000,公会十字α
074_000,职员α(男款)
074_001,职员α(女款)
075_000,盛开α(男款)
075_001,盛开α(女款)
076_000,奉献耳饰α(男款)
076_001,奉献耳饰α(女款)
076_100,大胃王耳饰α(男款)
076_101,大胃王耳饰α(女款)
077_000,艾露猫头套α(男款)
077_001,艾露猫头套α(女款)
078_000,泡歌鸮α
079_000,封印的龙骸布α
080_000,霹雳舞猫(男款)
080_001,霹雳舞猫(女款)
081_000,踊火α(男款)
081_001,踊火α(女款)
083_000,毛茸茸兽耳
084_000,毛茸茸兽尾
085_000,哥特幽魂α(男款)
085_001,哥特幽魂α(女款)
086_000,收获α(男款)
086_001,收获α(女款)
087_000,调查队耳饰α(男款)
087_001,调查队耳饰α(女款)
088_000,知性眼镜α
088_100,方形眼镜α
088_200,墨镜α
088_300,圆框眼镜α
088_400,心形眼镜α
088_500,下半框眼镜α
088_600,泪滴墨镜α
088_700,猫眼眼镜α
088_800,炫光护目镜α
088_900,分析之眼α
089_000,单羽项链α
090_000,启程的鹰之心α(男款)
090_001,启程的鹰之心α(女款)
091_000,宇宙机装
092_000,巨戟龙α/巨戟龙β(男款)
092_001,巨戟龙α/巨戟龙β(女款)
093_000,祭典α(男款)
093_001,祭典α(女款)
094_000,盛装α
095_000,辟兽头套α(男款)
095_001,辟兽头套α(女款)
096_000,胶鲵α
097_000,肉垫手套α
098_000,骷髅面罩α
099_000,猎户星α(男款)
099_001,猎户星α(女款)
100_000,欧米茄服装α(男款)
100_001,欧米茄服装α(女款)
100_100,凶恶套装α
101_000,精力充沛森狸人α(男款)
101_001,精力充沛森狸人α(女款)
102_000,祝福腰饰α(男款)
102_001,祝福腰饰α(女款)
103_000,女王α
104_000,苍世武士α(男款)
104_001,苍世武士α(女款)
105_000,沼喷龙头套α(男款)
