#cat armor id
001_0000,希望猫(身)
001_1000,希望猫(头)
001_2000,希望猫(未知)
002_0000,骨制猫(身)
002_1000,骨制猫(头)
002_2000,骨制猫(未知)
003_0000,合金猫(身)
003_1000,合金猫(头)
003_2000,合金猫(未知)
004_0000,缠蛙猫(身)
004_1000,缠蛙猫(头)
004_2000,缠蛙猫(未知)
005_0000,沙海龙猫(身)
005_1000,沙海龙猫(头)
005_2000,沙海龙猫(未知)
006_0000,雪狮子王猫(身)
006_1000,雪狮子王猫(头)
006_2000,雪狮子王猫α(未知)
007_0000,沼喷龙猫(身)
007_1000,沼喷龙猫(头)
007_2000,沼喷龙猫(未知)
008_0000,辟兽猫(身)
008_1000,辟兽猫(头)
008_2000,辟兽猫(未知)
009_0000,怪鸟猫(身)
009_1000,怪鸟猫(头)
009_2000,怪鸟猫α(未知)
010_0000,毒怪鸟猫(身)
010_1000,毒怪鸟猫(头)
010_2000,毒怪鸟猫α(未知)
011_0000,炎尾龙猫(身)
011_1000,炎尾龙猫(头)
011_2000,炎尾龙猫(未知)
012_0000,千刃龙猫(身)
012_1000,千刃龙猫(头)
012_2000,千刃龙猫α(未知)
013_0000,刺花蜘蛛猫(身)
013_1000,刺花蜘蛛猫(头)
013_2000,刺花蜘蛛猫(未知)
014_0000,影蜘蛛猫(身)
014_1000,影蜘蛛猫(头)
014_2000,影蜘蛛猫(未知)
015_0000,黑蚀龙猫(身)
015_1000,黑蚀龙猫(头)
015_2000,黑蚀龙猫α(未知)
016_0000,死神猫(身)
016_1000,死神猫(头)
016_2000,死神猫α(未知)
017_0000,铠龙猫(身)
017_1000,铠龙猫(头)
017_2000,铠龙猫α(未知)
018_0000,煌雷龙猫(身)
018_1000,煌雷龙猫(头)
018_2000,煌雷龙猫(未知)
019_0000,赫猿兽猫(身)
019_1000,赫猿兽猫(头)
019_2000,赫猿兽猫(未知)
020_0000,狱焰蛸猫(身)
020_1000,狱焰蛸猫(头)
020_2000,狱焰蛸猫(未知)
021_0000,机械猫(身)
021_1000,机械猫(头)
021_2000,机械猫α(未知)
022_0000,桃毛兽王猫(身)
022_1000,桃毛兽王猫(头)
022_2000,桃毛兽王猫(未知)
023_0000,波衣龙猫(身)
023_1000,波衣龙猫(头)
023_2000,波衣龙猫(未知)
024_0000,风铗龙猫(身)
024_1000,风铗龙猫(头)
024_2000,风铗龙猫(未知)
025_0000,雌火龙猫(身)
025_1000,雌火龙猫(头)
025_2000,雌火龙猫α(未知)
026_0000,火龙猫(身)
026_1000,火龙猫(头)
026_2000,火龙猫α(未知)
027_0000,护火龙猫(身)
027_1000,护火龙猫(头)
027_2000,护火龙猫(未知)
028_0000,护辟兽猫(身)
028_1000,护辟兽猫(头)
028_2000,护辟兽猫(未知)
029_0000,冻峰龙猫(身)
029_1000,冻峰龙猫(头)
029_2000,冻峰龙猫α(未知)
030_0000,护凶爪龙猫(身)
030_1000,护凶爪龙猫(头)
030_2000,护凶爪龙猫(未知)
031_0000,暗器蛸猫(身)
031_1000,暗器蛸猫(头)
031_2000,暗器蛸猫(未知)
032_0000,护锁刃龙猫(身)
032_1000,护锁刃龙猫(头)
032_2000,护锁刃龙猫(未知)
034_0000,库纳法猫(身)
034_1000,库纳法猫(头)
034_2000,库纳法猫α(未知)
035_0000,完美变身森狸人(身)
035_1000,完美变身森狸人(头)
035_2000,完美变身森狸人α(未知)
036_0000,阿孜兹猫(身)
036_1000,阿孜兹猫(头)
036_2000,阿孜兹猫α(未知)
037_0000,西尔德猫(身)
037_1000,西尔德猫(头)
037_2000,西尔德猫α(未知)
038_0000,酥加猫(身)
038_1000,酥加猫(头)
038_2000,酥加猫α(未知)
039_0000,美声歌猫(身)
039_1000,美声歌猫(头)
039_2000,美声歌猫α(未知)
040_0000,护雷颚龙猫(身)
040_1000,护雷颚龙猫(头)
040_2000,护雷颚龙猫α(未知)
041_0000,锁刃龙猫(身)
041_1000,锁刃龙猫(头)
041_2000,锁刃龙猫α(未知)
042_0000,皮制猫(身)
042_1000,皮制猫(头)
042_2000,皮制猫(未知)
043_0000,猫猫粗呢(身)
043_1000,猫猫粗呢(头)
043_2000,猫猫粗呢(未知)
044_0000,泡狐龙猫(身)
044_1000,泡狐龙猫(头)
044_2000,泡狐龙猫α(未知)
045_0000,足轻猫(身)
045_1000,足轻猫(头)
045_2000,足轻猫(未知)
046_0000,阿罗哈猫(身)
046_1000,阿罗哈猫(头)
046_2000,阿罗哈猫α(未知)
047_0000,纸塑猫(身)
047_1000,纸塑猫(头)
047_2000,纸塑猫α(未知)
048_0000,踊火猫(身)
048_1000,踊火猫(头)
048_2000,踊火猫α(未知)
049_0000,提线猫(身)
049_1000,提线猫(头)
049_2000,提线猫α(未知)
050_0000,海龙猫(身)
050_1000,海龙猫(头)
